,words read,differents
745,74600,7314
746,74700,7316
747,74800,7319
748,74900,7324
749,75000,7331
750,75100,7332
751,75200,7336
752,75300,7340
753,75400,7346
754,75500,7352
755,75600,7355
756,75700,7361
757,75800,7363
758,75900,7368
759,76000,7371
760,76100,7371
761,76200,7379
762,76300,7392
763,76400,7399
764,76500,7403
765,76600,7412
766,76700,7424
767,76800,7427
768,76900,7433
769,77000,7436
770,77100,7439
771,77200,7444
772,77300,7449
773,77400,7450
774,77500,7451
775,77600,7454
776,77700,7459
777,77800,7461
778,77900,7463
779,78000,7465
780,78100,7476
781,78200,7486
782,78300,7496
783,78400,7505
784,78500,7512
785,78600,7519
786,78700,7528
787,78800,7533
788,78900,7538
789,79000,7543
790,79100,7548
791,79200,7552
792,79300,7554
793,79400,7561
794,79500,7566
795,79600,7568
796,79700,7574
797,79800,7580
798,79900,7584
799,80000,7590
800,80100,7594
801,80200,7598
802,80300,7607
803,80400,7617
804,80500,7631
805,80600,7637
806,80700,7641
807,80800,7644
808,80900,7648
809,81000,7653
810,81100,7657
811,81200,7662
812,81300,7668
813,81400,7671
814,81500,7676
815,81600,7689
816,81700,7694
817,81800,7708
818,81900,7720
819,82000,7724
820,82100,7744
821,82200,7759
822,82300,7765
823,82400,7768
824,82500,7778
825,82600,7789
826,82700,7801
827,82800,7811
828,82900,7831
829,83000,7847
830,83100,7858
831,83200,7868
832,83300,7878
833,83400,7890
834,83500,7898
835,83600,7910
836,83700,7916
837,83800,7928
838,83900,7931
839,84000,7939
840,84100,7942
841,84200,7945
842,84300,7958
843,84400,7977
844,84500,7986
845,84600,7993
846,84700,8001
847,84800,8006
848,84900,8014
849,85000,8026
850,85100,8030
851,85200,8034
852,85300,8044
853,85400,8051
854,85500,8058
855,85600,8067
856,85700,8077
857,85800,8086
858,85900,8093
859,86000,8097
860,86100,8104
861,86200,8108
862,86300,8114
863,86400,8122
864,86500,8129
865,86600,8131
866,86700,8136
867,86800,8138
868,86900,8141
869,87000,8149
870,87100,8154
871,87200,8161
872,87300,8169
873,87400,8170
874,87500,8177
875,87600,8183
876,87700,8190
877,87800,8192
878,87900,8196
879,88000,8199
880,88100,8203
881,88200,8208
882,88300,8213
883,88400,8216
884,88500,8217
885,88600,8220
886,88700,8225
887,88800,8230
888,88900,8232
889,89000,8234
890,89100,8236
891,89200,8238
892,89300,8240
893,89400,8241
894,89500,8248
895,89600,8249
896,89700,8251
897,89800,8253
898,89900,8256
899,90000,8256
900,90100,8257
901,90200,8260
902,90300,8262
903,90400,8266
904,90500,8272
905,90600,8275
906,90700,8286
907,90800,8288
908,90900,8292
909,91000,8297
910,91100,8302
911,91200,8305
912,91300,8308
913,91400,8309
914,91500,8313
915,91600,8318
916,91700,8321
917,91800,8324
918,91900,8328
919,92000,8330
920,92100,8333
921,92200,8338
922,92300,8342
923,92400,8344
924,92500,8348
925,92600,8354
926,92700,8355
927,92800,8358
928,92900,8359
929,93000,8372
930,93100,8378
931,93200,8380
932,93300,8383
933,93400,8384
934,93500,8389
935,93600,8393
936,93700,8396
937,93800,8400
938,93900,8408
939,94000,8412
940,94100,8414
941,94200,8415
942,94300,8422
943,94400,8422
944,94500,8425
945,94600,8434
946,94700,8438
947,94800,8448
948,94900,8450
949,95000,8457
950,95100,8460
951,95200,8465
952,95300,8472
953,95400,8474
954,95500,8479
955,95600,8484
956,95700,8487
957,95800,8492
958,95900,8494
959,96000,8498
960,96100,8498
961,96200,8501
962,96300,8504
963,96400,8508
964,96500,8513
965,96600,8517
966,96700,8520
967,96800,8522
968,96900,8522
969,97000,8525
970,97100,8530
971,97200,8537
972,97300,8540
973,97400,8542
974,97500,8546
975,97600,8554
976,97700,8557
977,97800,8558
978,97900,8559
979,98000,8561
980,98100,8561
981,98200,8567
982,98300,8571
983,98400,8574
984,98500,8579
985,98600,8584
986,98700,8589
987,98800,8590
988,98900,8593
989,99000,8606
990,99100,8614
991,99200,8618
992,99300,8622
993,99400,8624
994,99500,8631
995,99600,8640
996,99700,8643
997,99800,8647
998,99900,8653
999,100000,8658
1000,100100,8664
1001,100200,8665
1002,100300,8666
1003,100400,8669
1004,100500,8672
1005,100600,8674
1006,100700,8683
1007,100800,8687
1008,100900,8690
1009,101000,8691
1010,101100,8693
1011,101200,8695
1012,101300,8698
1013,101400,8704
1014,101500,8704
1015,101600,8707
1016,101700,8714
1017,101800,8719
1018,101900,8723
1019,102000,8726
1020,102100,8726
1021,102200,8733
1022,102300,8736
1023,102400,8738
1024,102500,8739
1025,102600,8747
1026,102700,8750
1027,102800,8753
1028,102900,8760
1029,103000,8764
1030,103100,8765
1031,103200,8769
1032,103300,8774
1033,103400,8778
1034,103500,8782
1035,103600,8786
1036,103700,8790
1037,103800,8792
1038,103900,8795
1039,104000,8801
1040,104100,8806
1041,104200,8814
1042,104300,8817
1043,104400,8831
1044,104500,8836
1045,104600,8840
1046,104700,8842
1047,104800,8854
1048,104900,8859
1049,105000,8863
1050,105100,8865
1051,105200,8867
1052,105300,8874
1053,105400,8878
1054,105500,8879
1055,105600,8882
1056,105700,8888
1057,105800,8889
1058,105900,8890
1059,106000,8898
1060,106100,8902
1061,106200,8906
1062,106300,8916
1063,106400,8919
1064,106500,8924
1065,106600,8929
1066,106700,8935
1067,106800,8940
1068,106900,8945
1069,107000,8948
1070,107100,8950
1071,107200,8956
1072,107300,8960
1073,107400,8964
1074,107500,8965
1075,107600,8966
1076,107700,8971
1077,107800,8973
1078,107900,8975
1079,108000,8980
1080,108100,8981
1081,108200,8985
1082,108300,8987
1083,108400,8990
1084,108500,8992
1085,108600,8995
1086,108700,8999
1087,108800,9000
1088,108900,9002
1089,109000,9005
1090,109100,9007
1091,109200,9010
1092,109300,9011
1093,109400,9015
1094,109500,9015
1095,109600,9017
1096,109700,9019
1097,109800,9023
1098,109900,9026
1099,110000,9028
1100,110100,9029
1101,110200,9031
1102,110300,9033
1103,110400,9036
1104,110500,9041
1105,110600,9048
1106,110700,9049
1107,110800,9052
1108,110900,9057
1109,111000,9064
1110,111100,9069
1111,111200,9072
1112,111300,9077
1113,111400,9085
1114,111500,9085
1115,111600,9087
1116,111700,9093
1117,111800,9095
1118,111900,9098
1119,112000,9099
1120,112100,9101
1121,112200,9104
1122,112300,9106
1123,112400,9112
1124,112500,9113
1125,112600,9114
1126,112700,9116
1127,112800,9119
1128,112900,9120
1129,113000,9120
1130,113100,9121
1131,113200,9123
1132,113300,9128
1133,113400,9133
1134,113500,9136
1135,113600,9137
1136,113700,9140
1137,113800,9140
1138,113900,9140
1139,114000,9140
1140,114100,9144
1141,114200,9145
1142,114300,9146
1143,114400,9149
1144,114500,9151
1145,114600,9151
1146,114700,9153
1147,114800,9154
1148,114900,9164
1149,115000,9171
1150,115100,9177
1151,115200,9178
1152,115300,9184
1153,115400,9186
1154,115500,9188
1155,115600,9190
1156,115700,9199
1157,115800,9210
1158,115900,9215
1159,116000,9215
1160,116100,9227
1161,116200,9233
1162,116300,9235
1163,116400,9239
1164,116500,9242
1165,116600,9242
1166,116700,9246
1167,116800,9250
1168,116900,9254
1169,117000,9255
1170,117100,9259
1171,117200,9264
1172,117300,9269
1173,117400,9274
1174,117500,9279
1175,117600,9283
1176,117700,9290
1177,117800,9296
1178,117900,9302
1179,118000,9310
1180,118100,9318
1181,118200,9322
1182,118300,9325
1183,118400,9326
1184,118500,9330
1185,118600,9331
1186,118700,9334
1187,118800,9336
1188,118900,9338
1189,119000,9338
1190,119100,9341
1191,119200,9343
1192,119300,9348
1193,119400,9351
1194,119500,9358
1195,119600,9361
1196,119700,9366
1197,119800,9370
1198,119900,9374
1199,120000,9376
1200,120100,9378
1201,120200,9384
1202,120300,9394
1203,120400,9398
1204,120500,9407
1205,120600,9413
1206,120700,9419
1207,120800,9420
1208,120900,9422
1209,121000,9423
1210,121100,9423
1211,121200,9432
1212,121300,9435
1213,121400,9440
1214,121500,9441
1215,121600,9446
1216,121700,9449
1217,121800,9453
1218,121900,9454
1219,122000,9460
1220,122100,9467
1221,122200,9469
1222,122300,9471
1223,122400,9477
1224,122500,9479
1225,122600,9483
1226,122700,9485
1227,122800,9487
1228,122900,9489
1229,123000,9489
1230,123100,9491
1231,123200,9497
1232,123300,9502
1233,123400,9504
1234,123500,9506
1235,123600,9509
1236,123700,9511
1237,123800,9512
1238,123900,9515
1239,124000,9517
1240,124100,9522
1241,124200,9525
1242,124300,9526
1243,124400,9529
1244,124500,9532
1245,124600,9534
1246,124700,9536
1247,124800,9540
1248,124900,9542
1249,125000,9546
1250,125100,9550
1251,125200,9551
1252,125300,9552
1253,125400,9552
1254,125500,9553
1255,125600,9555
1256,125700,9557
1257,125800,9559
1258,125900,9559
1259,126000,9559
1260,126100,9561
1261,126200,9562
1262,126300,9566
1263,126400,9570
1264,126500,9574
1265,126600,9576
1266,126700,9576
1267,126800,9576
1268,126900,9576
1269,127000,9576
1270,127100,9576
1271,127200,9576
1272,127300,9576
1273,127400,9576
1274,127500,9576
1275,127600,9576
1276,127700,9576
1277,127800,9576
1278,127900,9576
1279,128000,9576
1280,128100,9576
1281,128200,9576
1282,128300,9576
1283,128400,9576
1284,128500,9576
1285,128600,9576
1286,128700,9576
1287,128800,9576
1288,128900,9576
1289,129000,9576
1290,129100,9576
1291,129200,9576
1292,129300,9576
1293,129400,9576
1294,129500,9576
1295,129600,9576
1296,129700,9576
1297,129800,9579
1298,129900,9594
1299,130000,9604
1300,130100,9611
1301,130200,9620
1302,130300,9629
1303,130400,9639
1304,130500,9643
1305,130600,9646
1306,130700,9651
1307,130800,9658
1308,130900,9661
1309,131000,9662
1310,131100,9666
1311,131200,9670
1312,131300,9673
1313,131400,9679
1314,131500,9685
1315,131600,9689
1316,131700,9697
1317,131800,9697
1318,131900,9702
1319,132000,9713
1320,132100,9720
1321,132200,9731
1322,132300,9740
1323,132400,9749
1324,132500,9754
1325,132600,9761
1326,132700,9768
1327,132800,9775
1328,132900,9783
1329,133000,9787
1330,133100,9795
1331,133200,9800
1332,133300,9805
1333,133400,9811
1334,133500,9813
1335,133600,9819
1336,133700,9831
1337,133800,9837
1338,133900,9840
1339,134000,9850
1340,134100,9856
1341,134200,9862
1342,134300,9867
1343,134400,9869
1344,134500,9873
1345,134600,9875
1346,134700,9880
1347,134800,9883
1348,134900,9889
1349,135000,9892
1350,135100,9902
1351,135200,9907
1352,135300,9913
1353,135400,9921
1354,135500,9924
1355,135600,9930
1356,135700,9936
1357,135800,9942
1358,135900,9947
1359,136000,9951
1360,136100,9952
1361,136200,9956
1362,136300,9963
1363,136400,9972
1364,136500,9977
1365,136600,9981
1366,136700,9983
1367,136800,9985
1368,136900,9989
1369,137000,9994
1370,137100,10001
1371,137200,10006
1372,137300,10013
1373,137400,10022
1374,137500,10029
1375,137600,10040
1376,137700,10052
1377,137800,10061
1378,137900,10065
1379,138000,10075
1380,138100,10081
1381,138200,10091
1382,138300,10096
1383,138400,10100
1384,138500,10103
1385,138600,10113
1386,138700,10121
1387,138800,10129
1388,138900,10136
1389,139000,10145
1390,139100,10149
1391,139200,10157
1392,139300,10160
1393,139400,10166
1394,139500,10172
1395,139600,10178
1396,139700,10187
1397,139800,10192
1398,139900,10197
1399,140000,10198
1400,140100,10200
1401,140200,10204
1402,140300,10210
1403,140400,10218
1404,140500,10219
1405,140600,10224
1406,140700,10226
1407,140800,10229
1408,140900,10232
1409,141000,10234
1410,141100,10238
1411,141200,10244
1412,141300,10250
1413,141400,10252
1414,141500,10258
1415,141600,10259
1416,141700,10263
1417,141800,10267
1418,141900,10274
1419,142000,10277
1420,142100,10281
1421,142200,10286
1422,142300,10287
1423,142400,10287
1424,142500,10290
1425,142600,10293
1426,142700,10295
1427,142800,10295
1428,142900,10297
1429,143000,10299
1430,143100,10303
1431,143200,10307
1432,143300,10310
1433,143400,10312
1434,143500,10313
1435,143600,10314
1436,143700,10316
1437,143800,10318
1438,143900,10320
1439,144000,10321
1440,144100,10321
1441,144200,10328
1442,144300,10333
1443,144400,10337
1444,144500,10340
1445,144600,10341
1446,144700,10344
1447,144800,10346
1448,144900,10348
1449,145000,10358
1450,145100,10361
1451,145200,10365
1452,145300,10369
1453,145400,10371
1454,145500,10380
1455,145600,10385
1456,145700,10389
1457,145800,10395
1458,145900,10401
1459,146000,10407
1460,146100,10414
1461,146200,10425
1462,146300,10435
1463,146400,10443
1464,146500,10450
1465,146600,10457
1466,146700,10480
1467,146800,10488
1468,146900,10494
1469,147000,10498
1470,147100,10500
1471,147200,10507
1472,147300,10511
1473,147400,10519
1474,147500,10527
1475,147600,10529
1476,147700,10532
1477,147800,10533
1478,147900,10535
1479,148000,10536
1480,148100,10540
1481,148200,10546
1482,148300,10550
1483,148400,10555
1484,148500,10561
1485,148600,10563
1486,148700,10568
1487,148800,10573
1488,148900,10576
1489,149000,10580
1490,149100,10583
1491,149200,10587
1492,149300,10590
1493,149400,10595
1494,149500,10600
1495,149600,10601
1496,149700,10611
1497,149800,10627
1498,149900,10629
1499,150000,10638
1500,150100,10645
1501,150200,10652
1502,150300,10661
1503,150400,10668
1504,150500,10673
1505,150600,10675
1506,150700,10679
1507,150800,10682
1508,150900,10687
1509,151000,10692
1510,151100,10700
1511,151200,10703
1512,151300,10705
1513,151400,10707
1514,151500,10711
1515,151600,10714
1516,151700,10717
1517,151800,10723
1518,151900,10724
1519,152000,10724
1520,152100,10728
1521,152200,10729
1522,152300,10731
1523,152400,10733
1524,152500,10737
1525,152600,10739
1526,152700,10744
1527,152800,10749
1528,152900,10752
1529,153000,10753
1530,153100,10757
1531,153200,10760
1532,153300,10762
1533,153400,10767
1534,153500,10769
1535,153600,10771
1536,153700,10777
1537,153800,10786
1538,153900,10789
1539,154000,10803
1540,154100,10804
1541,154200,10805
1542,154300,10808
1543,154400,10808
1544,154500,10810
1545,154600,10811
1546,154700,10813
1547,154800,10818
1548,154900,10822
1549,155000,10829
1550,155100,10836
1551,155200,10836
1552,155300,10839
1553,155400,10844
1554,155500,10846
1555,155600,10850
1556,155700,10857
1557,155800,10859
1558,155900,10861
1559,156000,10867
1560,156100,10871
1561,156200,10874
1562,156300,10876
1563,156400,10877
1564,156500,10883
1565,156600,10883
1566,156700,10883
1567,156800,10885
1568,156900,10888
1569,157000,10893
1570,157100,10895
1571,157200,10902
1572,157300,10904
1573,157400,10906
1574,157500,10911
1575,157600,10919
1576,157700,10929
1577,157800,10939
1578,157900,10947
1579,158000,10954
1580,158100,10957
1581,158200,10964
1582,158300,10964
1583,158400,10965
1584,158500,10965
1585,158600,10969
1586,158700,10973
1587,158800,10978
1588,158900,10983
1589,159000,10989
1590,159100,10994
1591,159200,10999
1592,159300,11001
1593,159400,11003
1594,159500,11005
1595,159600,11007
1596,159700,11010
1597,159800,11016
1598,159900,11019
1599,160000,11023
1600,160100,11027
1601,160200,11030
1602,160300,11031
1603,160400,11037
1604,160500,11042
1605,160600,11049
1606,160700,11055
1607,160800,11056
1608,160900,11059
1609,161000,11064
1610,161100,11064
1611,161200,11065
1612,161300,11068
1613,161400,11075
1614,161500,11079
1615,161600,11081
1616,161700,11082
1617,161800,11084
1618,161900,11088
1619,162000,11099
1620,162100,11105
1621,162200,11108
1622,162300,11112
1623,162400,11116
1624,162500,11118
1625,162600,11120
1626,162700,11130
1627,162800,11133
1628,162900,11136
1629,163000,11138
1630,163100,11140
1631,163200,11143
1632,163300,11150
1633,163400,11151
1634,163500,11153
1635,163600,11159
1636,163700,11161
1637,163800,11165
1638,163900,11166
1639,164000,11170
1640,164100,11171
1641,164200,11175
1642,164300,11178
1643,164400,11181
1644,164500,11184
1645,164600,11187
1646,164700,11192
1647,164800,11198
1648,164900,11206
1649,165000,11208
1650,165100,11209
1651,165200,11209
1652,165300,11210
1653,165400,11211
1654,165500,11219
1655,165600,11225
1656,165700,11237
1657,165800,11242
1658,165900,11245
1659,166000,11246
1660,166100,11248
1661,166200,11252
1662,166300,11257
1663,166400,11266
1664,166500,11270
1665,166600,11272
1666,166700,11276
1667,166800,11283
